,street,zipcode,bathrooms,bedrooms,description,latitude,sqft,longitude,price,url,yearBuilt,neighborhood
104,1800 Clinton Ave APT 102,55404,1,1,"This is it! Excellent value to get into owning your own condo steps away from Downtown and close to uptown and the lakes. 9-foot ceilings, Hardwood floors, stainless steel appliances, freshly painted, new carpet, large storage locker and underground parking. Reasonable HOA dues and healthy association. 2- level party room and exercise room. Don't miss this one!",44.964931,833,-93.27184799999999,189900,https://www.zillow.com/homedetails/1800-Clinton-Ave-APT-102-Minneapolis-MN-55404/71814947_zpid/,2004,"Central, Minneapolis"
105,560 N 2nd St APT 305,55401,1,2,"Come home from work or study to relax in your light-filled open layout with a private balcony and views of tree tops in the courtyard. One level living at River Station with 2 bedrooms and 1 full bath. Assigned parking for 1 car with storage and locking bike rack. Full suite of stainless steel appliances in the kitchen. Fully-transferrable Home warranty protects this unit through June 2021. Live your best life in the North Loop. In-unit laundry. Steps from a convenient grocery on the corner across 2nd St N. Easy walk to the Mississippi River Parkway with biking, walking and running paths, a wide variety of shops, tons of Coffee shops, restaurants and bars with patios and takeout options, the Twins Stadium, light rail, Whole Foods. Guest parking right outside the front door on the private drive. Welcome to the River Station Life in the North Loop!",44.987743,896,-93.27403199999999,278500,https://www.zillow.com/homedetails/560-N-2nd-St-APT-305-Minneapolis-MN-55401/61623869_zpid/,2001,"Central, Minneapolis"
107,901 S 2nd St UNIT 204,55415,2,2,"Incredibly customized home you must see at Zenith Condos. This corner unit features floor to ceiling windows, showcasing amazing panoramic views overlooking Gold Medal Park and the Guthrie Theatre. This home features custom finishes throughout including hardwood floors, high end appliances in kitchen, designer fireplace, fantastic built in bar, private balcony facing the park, 2 heated parking stalls. Walk outside your door and you are blocks from the cities most popular cultural amenities, the Guthrie Theatre, Stone Arch Bridge, Farmers Market, Mill City Museum, US Bank Stadium, plus many restaurants and bars within walking distance, plus Trader Joes, Light Rail access. One of Downtown's most popular Boutique condo buildings!",44.977045000000004,1478,-93.254865,699900,https://www.zillow.com/homedetails/901-S-2nd-St-UNIT-204-Minneapolis-MN-55415/101671180_zpid/,2008,"Central, Minneapolis"
108,306 Ridgewood Ave,55403,3,3,"Stunning move-in ready 2-level townhome w/ a very open floor plan, 9 ft ceilings, recessed lighting, fresh paint, gorgeous wood floors, gas frplc, updated fixtures, big rooms through-out & heated under-ground 2-car pkg w/ door directly to the home.  The main level living areas are very transitional w/ big living & dining rooms w/ space for gatherings large and small, both indoors & out on the massive deck.  The spacious eat-in kitchen featuring maple cabinetry, breakfast bar, black & stainless appliances to include French door refrigerator, double ovens, gas cook top w/ vent hood, dishwasher & quartz counter tops.  The upper level has a private owners suite w/ walk- in closet and renovated 3/4 bath with walk-in shower, 2 generous bedrooms, full bath & laundry.  Perfectly located on a quiet residential street between the Wedge and Downtown w/ excellent walkability to Loring Park, Uptown, Downtown, The Walker, Sculpture Garden, MIA, Childrens Theartre, Shops, Restaurants & More!",44.964117,2162,-93.283278,450000,https://www.zillow.com/homedetails/306-Ridgewood-Ave-Minneapolis-MN-55403/52421815_zpid/,1999,"Central, Minneapolis"
109,401 N 2nd St UNIT 319,55401,2,2,"Beautiful 2 bed, 2 bath condo in coveted 5th Ave Lofts. Wide open floor plan with floor to ceiling windows and a Juliet balcony bring in tons of natural light. Updated kitchen includes stainless steel appliances, granite countertops and a subway tile backsplash. Master bedroom includes a walk through closet to a large, full bathroom. 2nd bedroom sits near the 3/4 bathroom and houses the in-unit laundry. Live among the best restaurants the Twin Cities has to offer, just blocks from the River and Stone Arch Bridge.",44.986253999999995,1298,-93.273423,409900,https://www.zillow.com/homedetails/401-N-2nd-St-UNIT-319-Minneapolis-MN-55401/2078569680_zpid/,2005,"Central, Minneapolis"
110,1120 S 2nd St APT 1106,55415,3,3,"Rarely does one have the opportunity to purchase a home this impeccably designed and maintained. This serene penthouse commands the most striking panoramic views in the city. From the majestic Mississippi and St Anthony Falls, to the iconic Gold Medal Park, to the dazzling Minneapolis skyline, with vistas that will captivate throughout the seasons. Equally impressive is the homeâs modern aesthetic that features custom detailing throughout: hand-laid Brazilian Walnut floors, honed slate, artisan bamboo cabinetry, gourmet appliances from Subzero, Wolf, and Miele, and expansive quartz waterfall island with built-in wine storage. Three bedrooms, featuring two suites plus a third currently being used as a spacious home office. State of the art theater room with bespoke sound and lighting. Generous balcony overlooking the park is ideal for entertaining. Secondary back entry for dog walker, deliveries, or caterers. This landmark home is a truly special property that is unmatched anywhere.",44.976464,2947,-93.251052,2249900,https://www.zillow.com/homedetails/1120-S-2nd-St-APT-1106-Minneapolis-MN-55415/124757194_zpid/,2013,"Central, Minneapolis"
111,908 13th Ave S,55404,2,2,"Downtown duplex located in a convenient location on a private street within walking distance to the U of M, HCMA, US Bank Stadium and other downtown amenities. The upper level is rented with guaranteed rent paid by a non-profit. Tenant wants to stay, current lease through 6-2021. Lower level is month to month; tenant wants to stay. Lower level has basement access. 
Both units are updated.  Upper tenant uses the living room as a bedroom.",44.967219,1022,-93.256633,250000,https://www.zillow.com/homedetails/908-13th-Ave-S-Minneapolis-MN-55404/1936217_zpid/,1900,"Central, Minneapolis"
112,45 4th Ave N APT 103,55401,3,2,"Incredibly well maintained end-unit townhouse. All windows redone. Updated kitchen, open main floor. Breathtaking skyline views from your living room and master bedroom. Walk to everything you love. Steps from the Mississippi Riverfront, award winning trail, cafes, restaurants, and the best shopping Minneapolis has to offer.",44.987808,2014,-93.268286,749900,https://www.zillow.com/homedetails/45-4th-Ave-N-APT-103-Minneapolis-MN-55401/61623925_zpid/,2001,"Central, Minneapolis"
113,301 W River Pkwy APT 102,55401,4,3,"Amazing panoramic views of the Mississippi River and Nicollet Island in the heart of the North Loop. 3 spacious bedrooms with 4 baths and private riverside balcony. High end finishes with Cherry floors/cabinets, center island kitchen, stainless appliances and firelit dining area. Just steps to all the North Loop dining, shopping and Riverfront Regional Trail. Move-In-Condition!",44.987634,2200,-93.26778399999999,850000,https://www.zillow.com/homedetails/301-W-River-Pkwy-APT-102-Minneapolis-MN-55401/61623932_zpid/,2001,"Central, Minneapolis"
114,325 W River Pkwy APT 105,55401,3,3,"Perhaps the most ideal location at Renaissance on the River, this superb townhome sits perfectly in a fabulous corner location with three directional views. Indulge in morning sun, evening sun, river and parkway views, along with lush green landscaping and mature trees. This home features two balconies, a private garage, and custom upgrades throughout! Nearly every surface has been recently updated; new mechanicals, new windows and doors, new white oak wood floors, custom fireplace and casework, Wolf, Subzero and Miele appliances and Alder cabinets throughout. Custom casework in the kitchen, living and guest bedroom including Murphy bed. All new bathrooms. Third bedroom in lower level is currently being used as home theater room, with rough in for lower level bathroom. Attached garage with extra storage. Highly walkable location across from neighborhood park and biking/walking trails, restaurants and North Loop. Excellent value and location!",44.988296999999996,2087,-93.268778,849900,https://www.zillow.com/homedetails/325-W-River-Pkwy-APT-105-Minneapolis-MN-55401/58625381_zpid/,2000,"Central, Minneapolis"
115,1800 4th Ave S APT C,55404,2,2,"Outstanding 1900's Steven's Square 2 story townhome with Minneapolis skyline views! You'll love the exposed brick walls mixed with maple floors, open kitchen with stainless steel appliances, and white cabinets. Wood floors lead you to the upper level which has two bedrooms and a 3/4 bath. The main level has a large family room with gas fireplace, open dining or study, and a full bathroom. The basement is large and has rare amounts of storage partnered with laundry. You'll love the convenient parking, private garden, and a location that ensures you can walk or bike to all the restaurants, coffee shops, parks, and transit routes!",44.964998,930,-93.270573,225000,https://www.zillow.com/homedetails/1800-4th-Ave-S-APT-C-Minneapolis-MN-55404/1944697_zpid/,1900,"Central, Minneapolis"
116,1014 Portland Ave S,55404,3,3,"Incredible opportunity to own a stunning  NYC-style brownstone townhome in acclaimed Grant Park! Gorgeous open-concept layout complimented with 9 ft. ceilings, creating a luxurious experience while maintaining functionality and efficiency! Gourmet kitchen w/ granite counters, large peninsula with bar-height seating, and ss app. Fantastic main level master w/ engineered hardwood floors, walk-in closet, double vanity, & sep. shower/tub. Lower Level boasts a gen. sized family room w/ recessed lighting and 2 bedrooms w/ over-sized egress windows allowing for ample natural light. Enjoy evenings on your cozy front balcony while taking in the city experience! Grant Park amenities are in a class of their own and one of the best values downtown Minneapolis has to offer. Beautifully landscaped courtyard, pool, fitness/exercise room, fully-equipped party room, 24 hour concierge service and more! 2 indoor heated parking stalls immediately accessible from your unit.",44.970257000000004,2220,-93.26733399999999,549900,https://www.zillow.com/homedetails/1014-Portland-Ave-S-Minneapolis-MN-55404/2078663702_zpid/,2003,"Central, Minneapolis"
117,1225 Lasalle Ave APT 602,55403,2,2,"Kickstart your urban lifestyle in this completely upgraded and renovated condo, located just steps from the recently  completed Nicollet Mall project. Excellent walkability to restaurants, grocery, coffee shops and perhaps your office! Green space everywhere, whether it's at nearby Loring Park, treetop views from your private balcony, or the incredible association-owned rooftop plaza! New kitchen, appliances, flooring, carpet and paint all 2020. Rest of the condo was updated in 2018. Great value for downtown living. Assoc dues include everything but electric. This one is spectacular and ready to be called home!",44.971831,1118,-93.278357,289500,https://www.zillow.com/homedetails/1225-Lasalle-Ave-APT-602-Minneapolis-MN-55403/1942555_zpid/,1978,"Central, Minneapolis"
118,247 10th Ave S,55415,3,4,"This famous home expertly merges modern, industrial and Gothic details to create the most unique residence in downtown. Intricate metalwork, solid wood finishes and stained glass throughout. Enjoy effortless entertaining on the rooftop terrace with unparalleled views of the Minneapolis skyline and US Bank Stadium.",44.975234,4547,-93.254826,2495000,https://www.zillow.com/homedetails/247-10th-Ave-S-Minneapolis-MN-55415/1935616_zpid/,1911,"Central, Minneapolis"
119,500 E Grant St APT 1701,55404,2,2,"Meticulously maintained and pride in ownership shows with this original owner, corner unit condo which has been used sparingly over the years. This wonderful layout has 2 bedrooms plus large den with built-in desk, 2 full bathrooms, 2 private balconies, and a great open concept living, dining, kitchen area.  Features large oversized windows, hardwood flooring everywhere but bedrooms and bathrooms, master suite with its own private balcony & separate tub/ shower, solid core doors on bedrooms & bathrooms, granite counters, stainless appliances, and huge island for entertaining.  Amenities include an indoor pool & jacuzzi tub, fitness center, community room, business center, 24-hour concierge, & more. Easy and convenient access to get anywhere downtown or to multiple freeway access points.  Gas line plumbed to balcony for grill.",44.969969,1759,-93.26816,555000,https://www.zillow.com/homedetails/500-E-Grant-St-APT-1701-Minneapolis-MN-55404/64587442_zpid/,2004,"Central, Minneapolis"
120,1705 Stevens Ave APT 301,55403,1,2,"Fantastic opportunity to own a stylish historic unit near eat street. Close to Downtown. Highly sought top floor 2 bed/1 bath corner unit WITH a parking garage. Not every day you get one of those. The kitchen nook can be used as a dining room, office or extra sitting area. Cute park a block away.",44.966019,676,-93.27494899999999,139900,https://www.zillow.com/homedetails/1705-Stevens-Ave-APT-301-Minneapolis-MN-55403/1944655_zpid/,1913,"Central, Minneapolis"
121,1311 Yale Pl APT 21,55403,1,2,"Nicely updated condo in the highly desirable Loring Park Neighborhood. Beautiful kitchen with SS appliances, granite countertops, and custom cabinets. Nice hardwood floors throughout and an open floor plan perfect for entertaining. Convenient downtown location within walking distance of parks, restaurants, theaters, museums, and much more!",44.972018,1165,-93.280324,225000,https://www.zillow.com/homedetails/1311-Yale-Pl-APT-21-Minneapolis-MN-55403/1943747_zpid/,1900,"Central, Minneapolis"
122,307 Ridgewood Ave APT 5,55403,2,1,"Unique opportunity to live in a converted carriage house in the heart of Mpls! Enjoy a main floor kitchen w/granite counters, center island, abundant cabinetry, & an adjoining informal dining room that is spacious & ideal for entertaining friends & family. A 3/4 bath & laundry room sit just around the corner. Traveling upstairs you will find a stunning living room w/gorgeous reclaimed hardwood floors, a vaulted wood-beam ceiling, & a sunny reading nook beneath a charming wall of windows (original to the home). In the cooler months, cozy up in front of the wood-burning fireplace w/your favorite book. The bedroom sits off the hallway & boasts large double closets for your belongings. Across the way is an office & the home's full bath. During the warmer months of the year, you will find yourself spending beautiful days on the expansive, private deck! An ideal location thanks to nearby access to I-94 & 35W, the Walker Art Center, shopping & restaurants in Downtown & Uptown. Call this home!",44.96354,1456,-93.282987,350000,https://www.zillow.com/homedetails/307-Ridgewood-Ave-APT-5-Minneapolis-MN-55403/1944527_zpid/,1900,"Central, Minneapolis"
123,521 S 7th St UNIT 708,55415,2,2,"The views are spectacular from this highly coveted, 2 level, penthouse condo conveniently located in the Sexton building! Other units have blocked views, but not here. You'll be able to take in the city views & views of US Bank Stadium from your main living area. Unwind from a long day on your spacious private patio. Inside you'll love the tall ceilings with exposed ductwork, a spacious kitchen with center island & granite countertops, plus HUGE windows that allow tons of natural light to brighten your space. If you're feeling more social, you have the option to mingle with other owners on the community rooftop sundeck set up with grills, tables, & chairs. Condo includes parking in adjacent ramp plus 2 guest spots. This condo will not disappoint! Heated parking space included is located in adjacent Portland Towers.",44.97332,1583,-93.2647,499900,https://www.zillow.com/homedetails/521-S-7th-St-UNIT-708-Minneapolis-MN-55415/2104984803_zpid/,1926,"Central, Minneapolis"
124,750 S 2nd St APT 406,55401,3,1,"Introducing Julie Snow's award winning Humboldt Lofts. One of the most iconic buildings in The Mill District. The Guthrie, Stone Arch Bridge, Gold Medal Park are just some of the near by attractions. The residence boasts 12' ceilings throughout filled with abundant light entering the south facing living room, dining room and kitchen. Views of the city and the Mill City ruins from the master bedroom. Exposed industrial chic concrete floors are enhanced by George Nelson lights. Flexible living and entertaining areas, walk in pantry, great storage, master bedroom retreat, family room, office, studio space, two entries. Everything you are looking for in the building you have always wanted to live in.",44.978526,2520,-93.25670699999999,975000,https://www.zillow.com/homedetails/750-S-2nd-St-APT-406-Minneapolis-MN-55401/64889282_zpid/,2003,"Central, Minneapolis"
125,345 6th Ave N UNIT 405,55401,3,2,"Rarely available  ""05"" corner unit at Bookmen Stacks- a sophisticated, contemporary building in the heart of the North Loop! You will fall in love with the unparalleled skyline views overlooking green space. This glamorous open floor features floor to ceiling/wall to wall windows with Southern & Eastern exposure plus polished concrete floors, ceiling & architectural columns. Both bedrooms are en suite plus has a fun flex space that can be used as a dining room, office or den/media room. Wake up & go to bed with the stunning views of the city from the master suite & enjoy entertaining on your spacious & covered private deck.  Building amenities include updated lobby/sitting area, rooftop exercise room & community deck with fireplace. North Loop living at it's finest!  Conveniently located within walking distance of Target Field, light rail, skyways, Graze food hall, Fillmore music venue, breweries and more! 2nd parking stall currently rented, $225/mo, new owner may take over lease.",44.985184999999994,1790,-93.27775799999999,939900,https://www.zillow.com/homedetails/345-6th-Ave-N-UNIT-405-Minneapolis-MN-55401/71822682_zpid/,2005,"Central, Minneapolis"
126,716 N 1st St UNIT 536,55401,1,1,Beautiful golden brick and timber loft in Minneapolis's hottest neighborhood. A must see North Loop condo for outdoor lovers in the city looking for industrial charm.,44.989975,1200,-93.274938,309900,https://www.zillow.com/homedetails/716-N-1st-St-UNIT-536-Minneapolis-MN-55401/2080434102_zpid/,1900,"Central, Minneapolis"
127,700 S 2nd St #W22,55401,3,3,"Washburn lofts is widely regarded as Downtown Minneapolis' most-coveted loft building and is home to some of the most exclusive residences in the city. It's riverfront location at the foot of the Stone Arch Bridge, historic National Landmark status, & ultra-private unit mix of 22 large residences (only 2-3 units/floor) set it apart from other luxury options.   This dramatic loft features 14' ceilings, exposed brick, massive sculptural columns, & huge windows with motorized shades. The thoughtful floor plan features bedrooms on each side of the central kitchen, living, dining area - all orientated along South window-wall.  Includes 2 extra-large parking stalls & storage.   Washburn's common amenities rival buildings that are 5x its size & include riverside patio, community rm w/panoramic views & kitchen, large exercise rm, 2 elevators, & caretaker.   Live shoulder-to-shoulder with the Mill City Museum, Guthrie Theater, & Stone Arch Bridge in downtown's most exclusive neighborhood!",44.979048999999996,2696,-93.257508,1369000,https://www.zillow.com/homedetails/700-S-2nd-St-W22-Minneapolis-MN-55401/61624263_zpid/,1914,"Central, Minneapolis"
128,740 Portland Ave S #803,55415,1,2,"1,472 sq ft  with generous living space and a balcony of 73 square feet. Great South and east exposures through full walls of windows. Enhanced features incl. upgraded plumbing and lighting fixtures,  Custom cabinetry, tile, wood floors throughout living areas, granite,tops with Tiled backsplash,  custom paint, plus  enameled trim and doors. Portland Tower patio deck with fire pits and grills, fitness center and more! Walk to downtown venues, sports facilities including the US Bank Stadium, restaurants, shopping and more! Climate Controll garages with 2 stalls incl. plus a storage cage. ASSOCIATION HAS APPROVED ADDING ELECTRICAL OUTLET FOR CARS   Please complete attached COVID document prior to viewing condos or one will be available with sales agent.  Mask will be required in the hallway and common area, and agent can provide one.",44.972713,1472,-93.264687,550000,https://www.zillow.com/homedetails/740-Portland-Ave-S-803-Minneapolis-MN-55415/2079514574_zpid/,2020,"Central, Minneapolis"
130,1812 Clinton Ave APT 103,55404,1,1,"Price reduced! Fantastic Minneapolis condo with a lot of charm and character. Hardwood floors, SS appliances, beautiful woodwork, build in hutch, breakfast bar. Close to many Minneapolis amenities and transit. Shared roof top deck, community and exercise rooms. Storage locker. A true must see unit!",44.964656,686,-93.27184799999999,125000,https://www.zillow.com/homedetails/1812-Clinton-Ave-APT-103-Minneapolis-MN-55404/71814942_zpid/,1917,"Central, Minneapolis"
131,502 River St,55401,4,3,"Located along W River Pkwy in the North Loop of Downtown Minneapolis, this private neighborhood offers a true sense of community, privacy, and quiet enjoyment within walking distance of award-winning restaurants, cafes, shopping, parks, river pathways, light rail, sporting events, and more. This remarkable home features river and skyline views, an open main living area with gas fireplace, three bedrooms on one level, and master suite with a spa-like full bath and walk-in closet. Completely renovated with thoughtful modern details for today's lifestyle. Enjoy a gourmet luxury kitchen featuring modern stainless steel appliances, exhaust hood, custom cabinetry, and a large center island with seating. Relax on the huge riverside deck which provides ample space for grilling, container gardening, lounging, and outdoor entertaining. The second balcony offers skyline views. Spacious lower level with wet bar, billiard area, storage, and natural daylight. Pristine heated garage w/storage.",44.989714,4431,-93.270975,1875000,https://www.zillow.com/homedetails/502-River-St-Minneapolis-MN-55401/58625398_zpid/,1999,"Central, Minneapolis"
132,510 Groveland Ave #304,55403,3,2,"Unique corner & rarely available larger luxury condominium home, sophisticated & upscale, combined with character from yesteryear. Totally remodeled to today's lifestyle in exquisite taste including unusual walnut hardwood flooring, gourmet kit seldom seen, gorgeous marble baths & fantastic entertaining space in this grand old building. A gem, exciting & elegant!",44.96735,2533,-93.28687,1550000,https://www.zillow.com/homedetails/510-Groveland-Ave-304-Minneapolis-MN-55403/2083871217_zpid/,1927,"Central, Minneapolis"
133,3427 Queen Ave N,55412,2,3,"Incredible opportunity for new homeowner OR investor to get large home for the neighborhood! Beautiful hardwood floors just got uncovered in front Living Room and Main Level Bedrooms! You'll love the huge Family Room addition that flows from the Kitchen & Dining area! HUGE unfinished Basement with 8 foot ceilings and 2 egress windows allows for more equity! Upper level can be used as Bedroom/Office space or opened up to create Master Suite! Oversized 2 car garage is a rare find! Notice the custom paver driveway and walkway to the front door!  Blocks from Victory Memorial Parkway!  Home is being sold ""as-is"" but ready for new owner to capture all of the great potential!",45.017688,1551,-93.30989,175000,https://www.zillow.com/homedetails/3427-Queen-Ave-N-Minneapolis-MN-55412/1761828_zpid/,1939,"Cleveland, Minneapolis"
135,3445 Queen Ave N,55412,2,4,"Move in ready rental! Bring your investors! Freshly renovated with all new paint, carpet, cabinets, countertops, and appliances. Brand new bathroom vanities. Both units have large pantry closets. Lower unit is 1 bed 1 bath and upper unit is 2 beds 1 bath. Room to add a garage if desired. Parking pad in back big enough for 4 cars. EZ to show. Property is vacant.",45.018275,1709,-93.309896,214900,https://www.zillow.com/homedetails/3445-Queen-Ave-N-Minneapolis-MN-55412/1761805_zpid/,1904,"Cleveland, Minneapolis"
136,3342 Russell Ave N,55412,2,3,Charming 1.5 story in the quiet Cleveland neighborhood very close to Lucy Craft Lany elementary school.  If you like to walk this home is 1/5 mile from Victory Memorial parkway and Theodorewirth parkway.  This home features 3 bedrooms and 2 bathrooms with hidden hardwood floors throughout the main level.  If you like to enjoy coffee in the morning or reading then you will absolutely love the 3 season porch facing the fenced in backyard.,45.016271,1801,-93.310426,185000,https://www.zillow.com/homedetails/3342-Russell-Ave-N-Minneapolis-MN-55412/1762486_zpid/,1963,"Cleveland, Minneapolis"
137,3526 Russell Ave N,55412,2,4,Well maintained Duplex on a nice Tree covered block in a beautiful North Minneapolis neighborhood.    Within Walking distance to Theo Wirth Parkway and close to shops and amenities in Downtown Robbinsdale.    This duplex is a great opportunity for an investor or owner-occupant looking to offset their cost of living.   Partially finished basement offers opportunity to add square footage.,45.019451000000004,1848,-93.310448,249000,https://www.zillow.com/homedetails/3526-Russell-Ave-N-Minneapolis-MN-55412/1761881_zpid/,1958,"Cleveland, Minneapolis"
138,3354 Russell Ave N,55412,1,2,"Come fall in love with this adorable home. Tons of charm and great starter home or addition to any investor's portfolio. Property is move in ready with newer carpets (hardwood floors underneath), stainless steel appliances, and washer/dryer. Fenced in yard was just put in last year providing tons of privacy. Unfinished upper half floor offers potential future equity. Do not miss out on this great opportunity.",45.016597,748,-93.310427,159900,https://www.zillow.com/homedetails/3354-Russell-Ave-N-Minneapolis-MN-55412/1762489_zpid/,1924,"Cleveland, Minneapolis"
139,3326 Thomas Ave N,55412,1,2,"This 1274 square foot single family home has 2 bedrooms and 1.0 bathrooms. It is located at 3326 Thomas Ave N Minneapolis, Minnesota.",45.015871999999995,1274,-93.31296999999999,176610,https://www.zillow.com/homedetails/3326-Thomas-Ave-N-Minneapolis-MN-55412/1762547_zpid/,1904,"Cleveland, Minneapolis"
140,2714 35th Ave N,55412,1,2,2 bedroom/1 bath single family home 3 blocks from beautiful park. Spacious with skylights. Tenants pay all utilities. Cats and Dogs welcome.,45.01891,553,-93.315315,139000,https://www.zillow.com/homedetails/2714-35th-Ave-N-Minneapolis-MN-55412/1762038_zpid/,1922,"Cleveland, Minneapolis"
141,2225 36th Ave N,55412,1,4,"It's a remodeled rambler home on the North-side heart of Mpls.  Property is bigger than it looks.  Nicely updated new Kitchen, new Bathroom, new Carpets, new Appliances, new Washer/Dryer and some new Windows.  Freshly Paint throughout the main floor and lower level.  Very nice backyard on an over-sized lot with fence ready for its new owner.   Check this one out and make offer today!",45.020261,2280,-93.30919300000001,209000,https://www.zillow.com/homedetails/2225-36th-Ave-N-Minneapolis-MN-55412/1761855_zpid/,1908,"Cleveland, Minneapolis"
142,3518 Sheridan Ave N,55412,2,3,"Well maintained Minneapolis Home close to Robbinsdale and Golden Valley. Updated mechanicals and kitchen. Home shows pride of ownership. Hardwood floors, 3 season porch, 2 car garage. Welcome home!",45.019234999999995,1273,-93.31172099999999,219000,https://www.zillow.com/homedetails/3518-Sheridan-Ave-N-Minneapolis-MN-55412/1761909_zpid/,1922,"Cleveland, Minneapolis"
143,3438 Sheridan Ave N,55412,2,2,"This 880 square foot single family home has 2 bedrooms and 2.0 bathrooms. It is located at 3438 Sheridan Ave N Minneapolis, Minnesota.",45.017981,880,-93.311717,196469,https://www.zillow.com/homedetails/3438-Sheridan-Ave-N-Minneapolis-MN-55412/1761931_zpid/,1941,"Cleveland, Minneapolis"
144,2212 36th Ave N,55412,2,5,"You will not want to miss this house. It has been beautifully redone throughout. This modern home features all new windows, carpet, paint, appliances... you name it! With SO much natural light flooding in the house and the amazing floor plan, you can't go wrong. The dining room wood floors are original and have beautiful coloring. There are three large bedrooms upstairs, and two on the main floor. It really is hard to find a bedroom bigger than the master bedroom. From top to bottom, this house shines. There's a reason the photographer walked in and said she wanted to move here! Don't miss your chance to see it!",45.020674,2163,-93.309062,259900,https://www.zillow.com/homedetails/2212-36th-Ave-N-Minneapolis-MN-55412/64802634_zpid/,1883,"Cleveland, Minneapolis"
145,3215 Upton Ave N,55412,1,2,"This 980 square foot single family home has 2 bedrooms and 1.0 bathrooms. It is located at 3215 Upton Ave N Minneapolis, Minnesota.",45.013735,980,-93.314959,183953,https://www.zillow.com/homedetails/3215-Upton-Ave-N-Minneapolis-MN-55412/1762386_zpid/,1926,"Cleveland, Minneapolis"
146,642 37th Ave NE,55421,1,4,"Nicely updated 4 bedroom one story home in great Columbia Park neighborhood. Updates include the following. New windows, new flooring, new trim and doors. Updated kitchen with white cabinets, granite counters, stainless steel appliances, and tile back splash. Updated bathroom with new tub, new vanity and tile surround. Full finished basement with new carpet, family room, bedroom, and bonus area that could be used as office. Separate dinning room. Large newer 2 car garage, extra uncovered parking spot in front of house. Move in and enjoy!!",45.035271,1405,-93.25465,250000,https://www.zillow.com/homedetails/642-37th-Ave-NE-Minneapolis-MN-55421/1706637_zpid/,1924,"Columbia Park, Minneapolis"
147,3615 3rd St NE,55418,2,3,"Welcome Home!  Home feels much larger than it appears. New roof on garage, newer flooring and paint. 3 bed, 2 bath. Many updates done!",45.034168,1729,-93.263459,270000,https://www.zillow.com/homedetails/3615-3rd-St-NE-Minneapolis-MN-55418/1706883_zpid/,1942,"Columbia Park, Minneapolis"
148,531 36 1/2 Ave NE,55418,2,4,Absolutely fantastic rambler in great location.  You can park 5 cars in the driveway and 2 cars in the garage.  This home is clean as a whistle.  There is a fenced yard with 3 gates.  This home is in NE overlooking downtown.  This is available for a quick closing.  You will not find a better home at this price.,45.034893,1095,-93.258748,259900,https://www.zillow.com/homedetails/531-36-1-2-Ave-NE-Minneapolis-MN-55418/1706816_zpid/,1955,"Columbia Park, Minneapolis"
149,680 37th Ave NE,55421,2,3,"This 1340 square foot single family home has 3 bedrooms and 2.0 bathrooms. It is located at 680 37th Ave NE Minneapolis, Minnesota.",45.035271,1340,-93.25336999999999,267536,https://www.zillow.com/homedetails/680-37th-Ave-NE-Minneapolis-MN-55421/1706631_zpid/,1948,"Columbia Park, Minneapolis"
150,3619 Main St NE,55418,2,3,"This 1040 square foot single family home has 3 bedrooms and 2.0 bathrooms. It is located at 3619 Main St NE Minneapolis, Minnesota.",45.034267,1040,-93.267297,261619,https://www.zillow.com/homedetails/3619-Main-St-NE-Minneapolis-MN-55418/1706951_zpid/,1958,"Columbia Park, Minneapolis"
151,3647 2nd St NE,55418,1,3,"This 900 square foot single family home has 3 bedrooms and 1.0 bathrooms. It is located at 3647 2nd St NE Minneapolis, Minnesota.",45.035046,900,-93.26603399999999,246125,https://www.zillow.com/homedetails/3647-2nd-St-NE-Minneapolis-MN-55418/1706932_zpid/,1955,"Columbia Park, Minneapolis"
152,3235 40th Ave S,55406,1,2,Charming craftsman bungalow home in popular Cooper neighborhood. Desirable built in buffet and bookcases with original woodwork. Piano windows for additional natural light in living room. Front porch perfect for relaxing or reading a book and watch the world go by. Lower level features egress window for added light and possible additional bedroom in the future. Top of the line AprilAire dehumidifier included  Flat spacious back yard.,44.944047999999995,922,-93.214926,259900,https://www.zillow.com/homedetails/3235-40th-Ave-S-Minneapolis-MN-55406/1735748_zpid/,1923,"Cooper, Minneapolis"
153,3321 39th Ave S,55406,2,3,"This is it. Welcome home to a classic South Minneapolis craftsman bungalow w/ aperfect blend of vintage character + beautiful updates nestled among the mature treesof the highly sought after Cooper neighborhood. Step in from a finished entry & intoa living room w/ original oak hardwood floors brightened by the Southwestern sunpouring in from an enlarged picture window. Cook in a gourmet kitchen updated w/custom red oak cabinets, granite counters, stainless steel appliances - including achef's gas range + industrial hood vent - & a rare pantry area. Socialize around thetable in a bright dining room w/ an original oak buffet built-in & craftsman woodarchway. Relax in a lower level family room w/ modern finished stained concrete floor& recessed lighting. Get ready in 1 of 2 bathrooms remodeled w/ subway tilesurrounds. Entertain outdoors on the patio or start that garden in a sunny, fencedbackyard, & store so much more than cars in a 2+ car garage w/ attached workshop.Must see!",44.942592,1628,-93.21620300000001,334900,https://www.zillow.com/homedetails/3321-39th-Ave-S-Minneapolis-MN-55406/1735831_zpid/,1914,"Cooper, Minneapolis"
